Time,RSL
0.00000,1.459
0.10010,1.507
0.20000,1.541
0.30000,1.593
0.39990,1.641
0.50000,1.696
0.60010,1.756
0.70000,1.803
0.80000,1.843
0.89990,1.906
1.0000,1.963
1.1001,2.035
1.2000,2.117
1.3000,2.185
1.3999,2.258
1.5000,2.327
1.6001,2.413
1.7000,2.492
1.8000,2.581
1.8999,2.674
2.0000,2.757
2.1001,2.866
2.2000,2.969
2.3000,3.050
2.3999,3.142
2.5000,3.258
2.6001,3.357
2.7000,3.462
2.8000,3.565
2.8999,3.682
3.0000,3.787
3.1001,3.919
3.2000,4.059
3.3000,4.179
3.3999,4.301
3.5000,4.438
3.6001,4.563
3.7000,4.691
3.8000,4.808
3.8999,4.922
4.0000,5.021
4.1001,5.130
4.2000,5.276
4.3000,5.389
4.3999,5.512
4.5000,5.635
4.6001,5.757
4.7000,5.870
4.8000,5.999
4.8999,6.163
5.0000,6.319
5.1001,6.571
5.2000,6.772
5.3000,7.007
5.3999,7.255
5.5000,7.510
5.6001,7.803
5.7000,8.098
5.8000,8.342
5.8999,8.625
6.0000,8.899
6.1001,9.198
6.2000,9.483
6.3000,9.768
6.3999,10.017
6.5000,10.251
6.6001,10.536
6.7000,10.774
6.8000,10.997
6.8999,11.256
7.0000,11.488
7.1001,11.733
7.2000,11.992
7.3000,12.231
7.3999,12.485
7.5000,12.784
7.6001,13.036
7.7000,13.344
7.8000,13.670
7.8999,13.941
8.0000,14.261
8.1001,14.618
8.2000,15.009
8.3000,15.423
8.3999,15.833
8.5000,16.304
8.6001,16.735
8.7000,17.215
8.8000,17.775
8.8999,18.324
9.0000,18.932
9.1001,19.595
9.2000,20.265
9.3000,20.982
9.3999,21.745
9.5000,22.556
9.6001,23.374
9.7000,24.218
9.8000,25.063
9.8999,25.918
10.000,26.764
10.100,27.603
10.200,28.450
10.300,29.267
10.400,30.086
10.500,31.017
10.600,32.051
10.700,33.119
10.800,34.280
10.900,35.495
11.000,36.736
11.100,38.026
11.200,39.294
11.300,40.648
11.400,42.018
11.500,43.497
11.600,45.030
11.700,46.610
11.800,48.174
11.900,49.803
12.000,51.372
12.100,52.922
12.200,54.470
12.300,56.001
12.400,57.575
12.500,59.133
12.600,60.737
12.700,62.412
12.800,64.167
12.900,65.991
13.000,67.703
13.100,69.386
13.200,70.979
13.300,72.571
13.400,74.125
13.500,75.726
13.600,77.250
13.700,78.784
13.800,80.308
13.900,81.885
14.000,83.419
14.100,84.864
14.200,86.283
14.300,87.696
14.400,89.098
14.500,90.510
14.600,91.881
14.700,93.223
14.800,94.628
14.900,95.996
15.000,97.375
15.100,98.639
15.200,99.877
15.300,101.110
15.400,102.280
15.500,103.420
15.600,104.590
15.700,105.750
15.800,106.900
15.900,107.980
16.000,109.100
16.100,110.060
16.200,110.960
16.300,111.850
16.400,112.700
16.500,113.500
16.600,114.260
16.700,114.990
16.800,115.690
16.900,116.400
17.000,117.120
17.100,117.730
17.200,118.290
17.300,118.850
17.400,119.380
17.500,119.890
17.600,120.350
17.700,120.760
17.800,121.180
17.900,121.540
18.000,121.920
18.100,122.160
18.200,122.370
18.300,122.550
18.400,122.710
18.500,122.830
18.600,122.950
18.700,123.070
18.800,123.170
18.900,123.290
19.000,123.400
19.100,123.400
19.200,123.390
19.300,123.350
