source,group,geosplit,tmean,tmin,tmax,id
'Luo et al. (2004)',Carnivores,'Sumatra versus Malay Peninsula',0.108,0.059,0.157,1
'Wilting et al. (2016)',Carnivores,'Java versus Malay Peninsula',0.622,0.393,0.886,2
'Wilting et al. (2007)',Carnivores,'Sumatra versus Borneo',0.437,0.03,0.845,3
'Patel et al. (2017)',Carnivores,'Sunda islands versus Malay Peninsula',0.927,0.568,1.3,4
'Patel et al. (2017)',Carnivores,'Java versus (Borneo + Sumatra)',0.235,0.135,0.332,5
'Leonard et al. (2015)',Passerines,'Borneo versus (Sumatra + Malay Peninsula)',0.395,0.32,0.47,6
'Steiner et al. (2018)',Perissodactyles,'Borneo versus (Sumatra + Malay Peninsula)',0.3631,0.291,0.435,7
'Leonard et al. (2015)',Piciforms,'Borneo versus (Sumatra + Malay Peninsula)',0.53,None,None,8
'Leonard et al. (2015)',Piciforms,'Malay Peninsula versus Sumatra',0.08,None,None,9
'Leonard et al. (2015)',Piciforms,'Borneo versus (Sumatra + Malay Peninsula)',0.91,None,None,10
'Leonard et al. (2015)',Piciforms,'Malay Peninsula versus Sumatra',0.11,None,None,11
'Leonard et al. (2015)',Piciforms,'Borneo versus (Sumatra + Malay Peninsula)',0.23,None,None,12
'Leonard et al. (2015)',Piciforms,'Malay Peninsula versus Sumatra',0.075,None,None,13
'Leonard et al. (2015)',Rodents,'Borneo versus (Sumatra + Malay Peninsula)',0.75,None,None,14
'Leonard et al. (2015)',Rodents,'Malay Peninsula versus Sumatra',0.29,None,None,15
'Leonard et al. (2015)',Rodents,'Malay Peninsula versus Sumatra',0.94,None,None,16
'Leonard et al. (2015)',Rodents,'Borneo versus (Sumatra + Malay Peninsula)',0.24,None,None,17
'Leonard et al. (2015)',Rodents,'Malay Peninsula versus Sumatra',0.13,None,None,18
'Leonard et al. (2015)',Rodents,'Borneo versus (Sumatra + Malay Peninsula)',0.3,None,None,19
'Ohtani et al. (2013)',Plants,'Borneo versus (Sumatra + Malay Peninsula)',0.140671,0.04543,0.417525,20
